date,year,home_team,away_team,home_score,away_score,knockout
2014-06-22,2014,South Korea,Algeria,2,4,FALSE
2014-06-26,2014,South Korea,Belgium,0,1,FALSE
2014-06-26,2014,Algeria,Russia,1,1,FALSE
2014-06-28,2014,Brazil,Chile,1,1,TRUE
2014-06-28,2014,Colombia,Uruguay,2,0,TRUE
2014-06-29,2014,Netherlands,Mexico,2,1,TRUE
2014-06-29,2014,Costa Rica,Greece,1,1,TRUE
2014-06-30,2014,France,Nigeria,2,0,TRUE
2014-06-30,2014,Germany,Algeria,0,0,TRUE
2014-07-01,2014,Argentina,Switzerland,0,0,TRUE
2014-07-01,2014,Belgium,United States,0,0,TRUE
2014-07-04,2014,France,Germany,0,1,TRUE
2014-07-04,2014,Brazil,Colombia,2,1,TRUE
2014-07-05,2014,Argentina,Belgium,1,0,TRUE
2014-07-05,2014,Netherlands,Costa Rica,0,0,TRUE
2014-07-08,2014,Brazil,Germany,1,7,TRUE
2014-07-09,2014,Netherlands,Argentina,0,0,TRUE
2014-07-12,2014,Brazil,Netherlands,0,3,TRUE
2014-07-13,2014,Germany,Argentina,0,0,TRUE
2018-06-14,2018,Russia,Saudi Arabia,5,0,FALSE
2018-06-15,2018,Egypt,Uruguay,0,1,FALSE
2018-06-19,2018,Russia,Egypt,3,1,FALSE
2018-06-20,2018,Uruguay,Saudi Arabia,1,0,FALSE
2018-06-25,2018,Uruguay,Russia,3,0,FALSE
2018-06-25,2018,Saudi Arabia,Egypt,2,1,FALSE
2018-06-15,2018,Morocco,Iran,0,1,FALSE
2018-06-15,2018,Portugal,Spain,3,3,FALSE
2018-06-20,2018,Portugal,Morocco,1,0,FALSE
2018-06-20,2018,Iran,Spain,0,1,FALSE
2018-06-25,2018,Iran,Portugal,1,1,FALSE
2018-06-25,2018,Spain,Morocco,2,2,FALSE
2018-06-16,2018,France,Australia,2,1,FALSE
2018-06-16,2018,Peru,Denmark,0,1,FALSE
2018-06-21,2018,Denmark,Australia,1,1,FALSE
2018-06-21,2018,France,Peru,1,0,FALSE
2018-06-26,2018,Denmark,France,0,0,FALSE
2018-06-26,2018,Australia,Peru,0,2,FALSE
2018-06-16,2018,Argentina,Iceland,1,1,FALSE
2018-06-16,2018,Croatia,Nigeria,2,0,FALSE
2018-06-21,2018,Argentina,Croatia,0,3,FALSE
2018-06-22,2018,Nigeria,Iceland,2,0,FALSE
2018-06-26,2018,Nigeria,Argentina,1,2,FALSE
2018-06-26,2018,Iceland,Croatia,1,2,FALSE
2018-06-17,2018,Costa Rica,Serbia,0,1,FALSE
2018-06-17,2018,Brazil,Switzerland,1,1,FALSE
2018-06-22,2018,Brazil,Costa Rica,2,0,FALSE
2018-06-22,2018,Serbia,Switzerland,1,2,FALSE
2018-06-27,2018,Serbia,Brazil,0,2,FALSE
2018-06-27,2018,Switzerland,Costa Rica,2,2,FALSE
2018-06-17,2018,Germany,Mexico,0,1,FALSE
2018-06-18,2018,Sweden,South Korea,1,0,FALSE
2018-06-23,2018,South Korea,Mexico,1,2,FALSE
2018-06-23,2018,Germany,Sweden,2,1,FALSE
2018-06-27,2018,South Korea,Germany,2,0,FALSE
2018-06-27,2018,Mexico,Sweden,0,3,FALSE
2018-06-18,2018,Belgium,Panama,3,0,FALSE
2018-06-18,2018,Tunisia,England,1,2,FALSE
2018-06-23,2018,Belgium,Tunisia,5,2,FALSE
2018-06-24,2018,England,Panama,6,1,FALSE
2018-06-28,2018,England,Belgium,0,1,FALSE
2018-06-28,2018,Panama,Tunisia,1,2,FALSE
2018-06-19,2018,Colombia,Japan,1,2,FALSE
2018-06-19,2018,Poland,Senegal,1,2,FALSE
2018-06-24,2018,Japan,Senegal,2,2,FALSE
2018-06-24,2018,Poland,Colombia,0,3,FALSE
2018-06-28,2018,Japan,Poland,0,1,FALSE
2018-06-28,2018,Senegal,Colombia,0,1,FALSE
2018-06-30,2018,France,Argentina,4,3,TRUE
2018-06-30,2018,Uruguay,Portugal,2,1,TRUE
2018-07-01,2018,Spain,Russia,1,1,TRUE
2018-07-01,2018,Croatia,Denmark,1,1,TRUE
2018-07-02,2018,Brazil,Mexico,2,0,TRUE
2018-07-02,2018,Belgium,Japan,3,2,TRUE
2018-07-03,2018,Sweden,Switzerland,1,0,TRUE
2018-07-03,2018,Colombia,England,1,1,TRUE
2018-07-06,2018,Uruguay,France,0,2,TRUE
2018-07-06,2018,Brazil,Belgium,1,2,TRUE
2018-07-07,2018,Sweden,England,0,2,TRUE
2018-07-07,2018,Russia,Croatia,1,1,TRUE
2018-07-10,2018,France,Belgium,1,0,TRUE
2018-07-11,2018,Croatia,England,1,1,TRUE
2018-07-14,2018,Belgium,England,2,0,TRUE
2018-07-15,2018,France,Croatia,4,2,TRUE
2022-11-20,2022,Qatar,Ecuador,0,2,FALSE
2022-11-21,2022,Senegal,Netherlands,0,2,FALSE
2022-11-25,2022,Qatar,Senegal,1,3,FALSE
2022-11-25,2022,Netherlands,Ecuador,1,1,FALSE
2022-11-29,2022,Ecuador,Senegal,1,2,FALSE
2022-11-29,2022,Netherlands,Qatar,2,0,FALSE
2022-11-21,2022,England,Iran,6,2,FALSE
